Meter,Days Connected,Days Disconnected
00100B53,,2016-02-24
00100B53,,2016-02-25
00100B53,,2016-02-26
00100BA4,,2016-02-10
00100BA4,,2016-02-11
00100BA4,,2016-02-12
00100BA4,,2016-02-13
00100BA4,,2016-02-14
00100BA4,,2016-02-15
00100BA4,,2016-02-16
00100BA4,,2016-02-17
00100BA4,,2016-02-18
00100BA4,,2016-02-19
00100BA4,,2016-02-20
00100BA4,,2016-02-21
00100BA4,,2016-02-22
00100BA4,,2016-02-23
00100BA4,,2016-02-24
00100BA4,,2016-02-25
00100BA4,,2016-02-26
00100BA4,,2016-02-27
00100BA4,,2016-02-28
00100BA4,,2016-02-29
00100BA4,,2016-03-01
00100BA4,,2016-03-02
00100BA4,,2016-03-03
00100BA4,,2016-03-04
00100BA4,,2016-03-05
00100BA4,,2016-03-06
00100BA4,,2016-03-07
00100BA4,,2016-03-08
00100BA9,,2016-02-09
00100BA9,,2016-02-10
00100BA9,,2016-02-11
00100BA9,,2016-02-12
00100BA9,,2016-02-13
00100BA9,,2016-02-14
00100BA9,,2016-02-15
00100BA9,,2016-02-16
00100BA9,,2016-02-17
00100BA9,,2016-02-18
00100BA9,,2016-02-19
00100BA9,,2016-02-20
00100BA9,,2016-02-21
00100BA9,,2016-02-22
00100BA9,,2016-02-23
00100BA9,,2016-02-24
00100BA9,,2016-02-25
00100BA9,,2016-02-26
00100BA9,,2016-02-27
00100BA9,,2016-02-28
00100BA9,,2016-02-29
00100BA9,,2016-03-01
00100BA9,,2016-03-02
00100BA9,,2016-03-03
00100BA9,,2016-03-04
00100BA9,,2016-03-05
00100BA9,,2016-03-06
00100BA9,,2016-03-07
00100BA9,,2016-03-08
00100BA9,,2016-03-09
00100C03,,2016-03-07
00100C03,,2016-03-08
00100C37,2016-03-08,2016-02-18
00100C37,,2016-02-19
00100C37,,2016-02-20
00100C37,,2016-02-21
00100C37,,2016-02-22
00100C37,,2016-02-23
00100C37,,2016-02-24
00100C37,,2016-02-25
00100C37,,2016-02-26
00100C37,,2016-02-27
00100C37,,2016-02-28
00100C37,,2016-02-29
00100C37,,2016-03-01
00100C37,,2016-03-02
00100C37,,2016-03-03
00100C37,,2016-03-04
00100C37,,2016-03-05
00100C37,,2016-03-06
00100C37,,2016-03-07
00100C37,,2016-03-09
00100EA1,2016-02-28,2016-02-09
00100EA1,,2016-02-10
00100EA1,,2016-02-11
00100EA1,,2016-02-12
00100EA1,,2016-02-13
00100EA1,,2016-02-14
00100EA1,,2016-02-15
00100EA1,,2016-02-16
00100EA1,,2016-02-17
00100EA1,,2016-02-18
00100EA1,,2016-02-19
00100EA1,,2016-02-20
00100EA1,,2016-02-21
00100EA1,,2016-02-22
00100EA1,,2016-02-23
00100EA1,,2016-02-24
00100EA1,,2016-02-25
00100EA1,,2016-02-26
00100EA1,,2016-02-27
00100EA1,,2016-02-29
00100EA1,,2016-03-01
00100EA1,,2016-03-02
00100EA1,,2016-03-03
